Column Name,Official Type,Frequency,LLM Detected,Reason,Affected Datasets Count,Affected Datasets List
end_time,Text,8,Time,"The column represents the end time of an event or activity, indicating a specific point in time.",8,"['2017 DOE High School Directory', '2018 DOE High School Directory', '2020 DOE High School Directory', '2014 - 2015 DOE High School Directory', '2016 DOE High School Directory']..."
start_time,Text,8,Time,"The column represents the start time of an event or activity, indicating a specific point in time rather than a location or other type of data.",8,"['2017 DOE High School Directory', '2018 DOE High School Directory', '2020 DOE High School Directory', '2014 - 2015 DOE High School Directory', '2016 DOE High School Directory']..."
address,Text,7,Location,"The column represents physical addresses, indicating a location",7,"['Building Elevation and Subgrade (BES)', 'Universal Pre-K (UPK) School Locations', '2018 DOE Middle School Directory', '2021 DOE Middle School Directory', '2019 DOE Middle School Directory']..."
primary_address_line_1,Text,7,Location,"The column represents primary addresses, which are typically associated with location information such as street addresses.",7,"['2017 DOE High School Directory', '2018 DOE High School Directory', '2020 DOE High School Directory', '2014 - 2015 DOE High School Directory', '2019 - 2020 School Locations']..."
borough,Text,6,Location,"The column represents the borough of a location, which is a geographical attribute.",6,"[' or in reliance of', 'Verified Locations for NYC City-Funded Social Service Contracts FY2018 (Physical Address)', 'FY2016-2017 Administrative Code 18-144 Park Maintenance Report Payroll Data', 'Verified Locations for NYC City-Funded Social Service Contracts - Sites', '2019 Pre-Kindergarten Admissions Guide']..."
latitude,Number,6,Location,"The column represents latitude coordinates, which are typically used to indicate a location on the Earth",6,"['Building Elevation and Subgrade (BES)', ' or in reliance of', 'Verified Locations for NYC City-Funded Social Service Contracts FY2018 (Physical Address)', 'Verified Locations for NYC City-Funded Social Service Contracts FY2018 (Location)', 'Verified Locations for NYC City-Funded Social Service Contracts - Sites']..."
longitude,Number,6,Location,"The column represents longitude coordinates, which are typically used to indicate a location on a map.",6,"['Building Elevation and Subgrade (BES)', ' or in reliance of', 'Verified Locations for NYC City-Funded Social Service Contracts FY2018 (Physical Address)', 'Verified Locations for NYC City-Funded Social Service Contracts FY2018 (Location)', 'Verified Locations for NYC City-Funded Social Service Contracts - Sites']..."
location,Text,5,Location,The column contains information related to location such as addresses and latitude/longitude coordinates.,5,"['2017 DOE High School Directory', '2018 DOE High School Directory', '2020 DOE High School Directory', '2021 DOE High School Directory', '2010 D75 Survey Data']..."
district,Number,3,Location,"The column 'district' likely represents a specific geographic district or area, such as a school district, electoral district, or administrative district.",3,"['2018 DOE Middle School Directory', '2021 DOE Middle School Directory', '2020 DOE Middle School Directory']..."
location_id,Number,3,Location,The column name suggests it is related to a specific location identifier,3,"['Verified Locations for NYC City-Funded Social Service Contracts FY2018 (Service At Location)', 'Verified Locations for NYC City-Funded Social Service Contracts FY2018 (Physical Address)', 'Verified Locations for NYC City-Funded Social Service Contracts FY2018 (Location)']..."
address_1,Text,2,Location,"The column contains addresses, which are typically associated with location information such as street names and numbers.",2,"['Verified Locations for NYC City-Funded Social Service Contracts FY2018 (Physical Address)', 'Verified Locations for NYC City-Funded Social Service Contracts - Sites']..."
boro,Text,2,Location,"The column 'boro' likely represents the borough of a location, which falls under the category of location information.",2,"['2017 DOE High School Directory', '2018 DOE High School Directory']..."
boro_code,Number,2,Location,"The column likely represents the borough code, which is a location identifier",2,"['Pedestrian Zone Shapefile (Tabular)', ' or in reliance of']..."
boro_name,Text,2,Location,"The column represents the name of a borough, which is a location",2,"['Pedestrian Zone Shapefile (Tabular)', ' or in reliance of']..."
borocode,Text,2,Location,"The column 'borocode' likely represents the borough code, which is a location identifier in datasets related to New York City. It is used to specify the borough of a particular location or entity within the city.",2,"['2020 DOE High School Directory', '2021 DOE High School Directory']..."
council_district,Number,2,Location,"The column likely represents the district number of a council, which is a geographical location within a city or region.",2,"['Verified Locations for NYC City-Funded Social Service Contracts FY2018 (Physical Address)', 'Verified Locations for NYC City-Funded Social Service Contracts - Sites']..."
expgrade_span_min,Number,2,Time,"The column represents a minimum span of years for expected grades, indicating a time duration.",2,"['2014 - 2015 DOE High School Directory', '2016 DOE High School Directory']..."
fiscal_year,Text,2,Time,"The column represents the fiscal year, which is a time-related attribute indicating the specific year in which financial activities occurred.",2,"['Verified Locations for NYC City-Funded Social Service Contracts FY2018 (Contract)', 'Verified Locations for NYC City-Funded Social Service Contracts - Contracts']..."
physical_address_id,Number,2,Location,"The column 'physical_address_id' likely represents a unique identifier for a physical address, which falls under the category of location information.",2,"['Verified Locations for NYC City-Funded Social Service Contracts FY2018 (Physical Address)', 'Verified Locations for NYC City-Funded Social Service Contracts (Address Verification)']..."
printedschoolname,Text,2,Location,"The column represents the names of different schools, which are locations where education is provided.",2,"['2018 DOE Middle School Directory', '2019 DOE Middle School Directory']..."
quality_review_year,Text,2,Time,"The column represents the year in which quality reviews were conducted, indicating a time-related attribute.",2,"['2016 DOE High School Performance  Directory', '2014-2015 DOE High School Performance-Directory']..."
school_accessibility_description,Number,2,Location,"The column describes the accessibility of schools, which is related to their physical location and proximity to certain amenities or resources.",2,"['2017 DOE High School Directory', '2018 DOE High School Directory']..."
schoolday,Text,2,Time,"The column represents the time range of a typical school day, indicating the start and end times of the school day.",2,"['2018 DOE Middle School Directory', '2019 DOE Middle School Directory']..."
address_2,Text,1,Location,"The column represents additional details about the address, such as floor number, which is a location-related attribute.",1,['Verified Locations for NYC City-Funded Social Service Contracts - Sites']...
block,Number,1,Location,"The column likely represents a specific block number within a geographical location, such as a city block or neighborhood block.",1,['Building Elevation and Subgrade (BES)']...
boro_dist,Text,1,Location,"The column likely represents the borough district, which is a location-based attribute.",1,['Campaign Financial Analysis']...
college_career_rate_boro,Number,1,Location,"The column likely represents the college career rate specific to a borough, indicating a geographical location.",1,['2016 DOE High School Performance  Directory']...
date01,Text,1,Time,"The column represents a specific date, indicating a point in time.",1,['2013-2014 DOE High School Programs']...
date02,Text,1,Time,"The column represents a specific date, indicating a point in time.",1,['2013-2014 DOE High School Programs']...
date03,Text,1,Time,"The column represents a specific date, indicating a point in time.",1,['2013-2014 DOE High School Programs']...
date04,Text,1,Time,"The column represents a specific date, indicating a point in time.",1,['2013-2014 DOE High School Programs']...
district,Text,1,Location,"The column likely represents different districts, which are typically associated with locations such as school districts or administrative regions.",1,['2019 DOE Middle School Directory']...
extendedhoursallschools,Text,1,Time,"The column represents different time periods for school programs (AM, PM, Contact Program)",1,['2019 Pre-Kindergarten Admissions Guide']...
fiscal_qtr,Text,1,Time,"The column represents fiscal quarters, which are a specific time period.",1,['FY2016-2017 Administrative Code 18-144 Park Maintenance Report Payroll Data']...
fiscal_year,Number,1,Time,"The column represents the fiscal year, which is a time-related attribute.",1,['2019 - 2020 School Locations']...
fixed_address,Text,1,Location,"The column likely represents whether the address is fixed or not, which is related to location information.",1,['Verified Locations for NYC City-Funded Social Service Contracts - Sites']...
geodistrict,Number,1,Location,The column likely represents a geographic district or area,1,['2019 Pre-Kindergarten Admissions Guide']...
